Papel;Segmento;Cotacao;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imoveis;Preco do m2;Aluguel por m2;Cap Rate;Vacancia Media
HGAG11;Outros;15,9;8,28%;12,96%;0,67;3.947.210;3.206;0;0;0;0,00%;0,00%
HGBL11;Logistica;10,21;1,19%;8,57%;1,04;124.904.000;1.390.920;1;1.759,16;39,49;2,24%;0,00%
HGBS11;Shoppings;194,05;7,94%;10,22%;0,87;2.470.220.000;3.562.710;15;4.372,82;350,35;8,01%;5,47%
HGCR11;Titulos e Val. Mob.;95,64;12,03%;9,36%;0,96;1.474.590.000;2.976.520;0;0;0;0,00%;0,00%
HGFF11;Titulos e Val. Mob.;75,56;9,61%;8,70%;0,87;216.373.000;439.152;0;0;0;0,00%;0,00%
HGIC11;Titulos e Val. Mob.;92,95;10,99%;12,36%;0,82;43.008.500;6.716;2;2.182,39;0;0,00%;0,00%
HGJH11;Lajes Corporativas;191,29;9,55%;0,00%;0,55;335.342.000;0;2;26.273,60;2.781,84;10,59%;3,42%
HGLG11;Logistica;153,18;6,82%;6,82%;0,97;5.175.580.000;7.825.600;26;3.262,98;232,27;7,12%;6,43%
HGPO11;Lajes Corporativas;119,35;15,31%;4,92%;0,35;209.227.000;960.387;2;16.392,70;2.781,84;16,97%;3,42%
HGRE11;Lajes Corporativas;102,39;6,96%;8,26%;0,67;1.210.020.000;2.028.440;16;6.479,81;668,85;10,32%;26,34%
HGRU11;Hibrido;116,95;8,17%;8,29%;0,93;2.152.640.000;4.347.560;68;4.195,08;421,21;10,04%;0,97%
HILG11;Outros;198,61;8,12%;2,43%;1,05;104.519.000;5;1;3.133,77;320,41;10,22%;0,00%
HLOG11;Logistica;83,23;7,53%;6,62%;0,72;353.727.000;114.405;4;1.881,20;210,29;11,18%;23,09%
HMOC11;Shoppings;226,95;2,17%;0,00%;0,95;86.698.800;0;0;0;0;3,27%;0,00%
HOFC11;Lajes Corporativas;26,07;4,52%;2,96%;0,37;98.518.600;129.132;4;2.309,21;463,77;20,08%;52,71%
HOSI11;Hibrido;86,52;9,65%;10,01%;0,94;49.614.900;145.459;2;0;0;0,00%;0,00%
HPDP11;Shoppings;88,73;6,78%;6,89%;0,93;291.744.000;1.658.170;1;2.140,16;159,19;7,44%;1,89%
HRDF11;Hibrido;3,18;2,77%;0,00%;0,36;4.825.410;168;0;0;0;0,00%;0,00%
HREC11;Titulos e Val. Mob.;8,07;11,91%;11,31%;0,91;416.151.000;386.255;0;0;0;0,00%;0,00%
HRES11;Hibrido;149,25;12,43%;7,88%;1,21;69.885.100;0;0;0;0;0,00%;0,00%
HSAF11;Titulos e Val. Mob.;79,33;12,87%;12,32%;0,9;200.416.000;537.555;0;0;0;0,00%;0,00%
HSLG11;Logistica;79,32;11,00%;10,60%;0,76;1.004.200.000;587.432;6;2.013,08;231,7;11,51%;4,12%
HSML11;Shoppings;87,11;7,70%;10,28%;0,81;1.812.630.000;3.566.740;8;8.317,54;872,73;10,49%;4,01%
